config_id,outer_target_gene,model_name,C,gamma,n_estimators,max_depth,min_samples_leaf,n_inner_validation_genes,threshold,inner_tuned_accuracy,inner_tuned_balanced_accuracy,inner_tuned_roc_auc,inner_tuned_gof_f1,inner_default_accuracy_mean,inner_default_balanced_accuracy_mean,inner_default_roc_auc_mean,inner_default_gof_f1_mean
32,SCN3A,random_forest,0.0,none,300,,5,6,0.4652093049150884,0.6144200626959248,0.6455084892584892,0.6848146223146223,0.5743944636678201,0.6388382157643694,0.6615126606198035,0.74408214140357,0.5640997890997891
27,SCN3A,random_forest,0.0,none,300,5,3,6,0.4702431358242523,0.6112852664576802,0.6452053014553014,0.6910949410949411,0.5753424657534246,0.6483211418644029,0.6668763445549161,0.7343962585034012,0.5831373010795495
7,SCN3A,linear_svm,1.0,none,0,none,0,6,0.09777403683188879,0.6394984326018809,0.6374306999307,0.6758056133056134,0.5490196078431373,0.6594031325151667,0.6650114105471248,0.7006639194139194,0.603792609940151
4,SCN3A,logistic_regression,100.0,none,0,none,0,6,0.395006163408101,0.5893416927899686,0.6367810117810118,0.6485187110187112,0.5732899022801303,0.6049615213001661,0.6140774899703471,0.6902432554218269,0.5528846965103692
2,SCN3A,logistic_regression,1.0,none,0,none,0,6,0.6343106791594864,0.670846394984326,0.6362612612612613,0.6832986832986834,0.5248868778280543,0.6373205689752789,0.648749927321356,0.7196344990987846,0.5804986295658993
3,SCN3A,logistic_regression,10.0,none,0,none,0,6,0.39326094855232874,0.5705329153605015,0.6223579348579349,0.6667532917532918,0.5623003194888179,0.6212832762306973,0.6336883685097972,0.712615922437351,0.5703910255189744
26,SCN3A,random_forest,0.0,none,300,5,1,6,0.5660340786182918,0.664576802507837,0.6209502772002772,0.6689622314622314,0.49765258215962443,0.6408138727483398,0.6665151316937031,0.7234530350601779,0.5792851619332927
31,SCN3A,random_forest,0.0,none,300,,3,6,0.3396565176163526,0.5109717868338558,0.6081947331947332,0.6551022176022175,0.569060773480663,0.5888684891818344,0.6077228327228328,0.7083057154485726,0.49518043684710356
8,SCN3A,linear_svm,10.0,none,0,none,0,6,-0.08960803332905706,0.5924764890282131,0.6055743243243243,0.6488652113652114,0.5255474452554745,0.6198377270058162,0.6333227949299377,0.6651098901098901,0.5703231741561261
30,SCN3A,random_forest,0.0,none,300,,1,6,0.595,0.670846394984326,0.6005500693000694,0.6310854123354124,0.4385026737967914,0.5754675173066051,0.6004070004070003,0.7193325193325193,0.4596716149347728
