feature_set,pca_dim,model_name,C,gamma,n_inner_genes,mean_accuracy,mean_balanced_accuracy,mean_roc_auc,mean_gof_f1,mean_average_precision,outer_target_gene
wt_mut_site,32,linear_svm,0.01,none,6,0.6648746354341939,0.6810806587592303,0.6915885371242515,0.6868748952572482,0.7688181671511712,SCN5A
delta_site,32,logistic_regression,10.0,none,6,0.6207115109316326,0.6809156782371067,0.7074139484853771,0.6125426223986925,0.7845425121523705,SCN5A
delta_site,64,linear_svm,10.0,none,6,0.6131748974408282,0.6807637798709227,0.7280663119948834,0.6061242678889738,0.7927818696315155,SCN5A
wt_mut_site,128,logistic_regression,0.1,none,6,0.6851647924245095,0.6807605093319379,0.7381788185359613,0.7094766469766469,0.8094634532400174,SCN5A
mutant_site,32,linear_svm,10.0,none,6,0.6600718481750344,0.6805657305657306,0.7495392173963603,0.6720388128909431,0.8213806580071356,SCN5A
wt_mut_site,128,logistic_regression,10.0,none,6,0.6946141244544867,0.6804349090063376,0.7344703907203907,0.7142453350786684,0.7965236123492313,SCN5A
wt_site,16,logistic_regression,0.1,none,6,0.6714047702033556,0.6802775597418455,0.727351517530089,0.6789064640451447,0.8001158608075781,SCN5A
wt_site,32,linear_svm,0.1,none,6,0.664589526278117,0.6802728356299784,0.655147828362114,0.6922079545608958,0.7461758116880003,SCN5A
mutant_site,32,logistic_regression,0.01,none,6,0.6746698375879365,0.6802539391825105,0.7340641170998313,0.6797862422862423,0.7942978306283409,SCN5A
mutant_site,32,logistic_regression,0.1,none,6,0.6743931581814976,0.6799704924704925,0.7176064015349729,0.6753801565793435,0.8025250954798477,SCN5A
mutant_site,128,linear_svm,0.01,none,6,0.6720957592850771,0.6792905837548694,0.7870381272166987,0.7071071071071072,0.8228162713946299,SCN5A
delta_site,32,logistic_regression,1.0,none,6,0.6179792704944741,0.6792149979649981,0.7064255189255189,0.6113605893017658,0.7893508698964068,SCN5A
mutant_site,8,logistic_regression,0.01,none,6,0.6840698430631006,0.6784874847374848,0.7167978516192802,0.7011069340016709,0.7631836220691591,SCN5A
delta_site,32,linear_svm,0.01,none,6,0.6163906382705959,0.6782563666492237,0.722798200476772,0.5960925325402661,0.7924800628514604,SCN5A
mutant_site,32,linear_svm,1.0,none,6,0.6625479410712092,0.6782509157509158,0.747744054886912,0.672059779077323,0.824951791387976,SCN5A
