outer_target_gene,feature_set,pca_dim,model_name,C,gamma,n_inner_genes,threshold,inner_tuned_accuracy,inner_tuned_balanced_accuracy,inner_tuned_roc_auc,inner_tuned_gof_f1,inner_tuned_macro_f1,inner_default_accuracy,inner_default_balanced_accuracy,inner_default_roc_auc,inner_default_gof_f1
SCN10A,wt_mut_site,8,linear_svm,10.0,none,6,0.3386025477414284,0.7714285714285715,0.7526169950738917,0.800228712174525,0.6814159292035398,0.7515990537106807,0.7206349206349206,0.7292179802955665,0.800228712174525,0.6589147286821705
SCN10A,wt_mut_site,8,linear_svm,1.0,none,6,0.3406799185452818,0.7714285714285715,0.7526169950738917,0.7996569317382124,0.6814159292035398,0.7515990537106807,0.7174603174603175,0.7267549261083743,0.7996569317382124,0.6563706563706564
SCN10A,wt_mut_site,128,linear_svm,0.01,none,6,0.3478853181944337,0.7619047619047619,0.7512315270935961,0.7692646023926812,0.6808510638297872,0.7454888230541341,0.6825396825396826,0.6996613300492611,0.7692646023926812,0.6296296296296297
SCN10A,wt_mut_site,128,rbf_svm,0.1,scale,6,-0.18055697450269823,0.7333333333333333,0.7510775862068966,0.7764778325123154,0.6842105263157895,0.7267206477732794,0.7365079365079366,0.6794950738916257,0.7764778325123154,0.5654450261780105
SCN10A,wt_mut_site,8,linear_svm,0.1,none,6,0.3451165220972683,0.7714285714285715,0.750615763546798,0.7976337086558761,0.6785714285714286,0.750615763546798,0.707936507936508,0.719365763546798,0.7976337086558761,0.648854961832061
SCN10A,wt_mut_site,8,linear_svm,0.01,none,6,0.3417300457073342,0.7714285714285715,0.750615763546798,0.7973258268824772,0.6785714285714286,0.750615763546798,0.7111111111111111,0.7218288177339902,0.7973258268824772,0.6513409961685823
SCN10A,wt_mut_site,16,logistic_regression,0.01,none,6,0.5730355917320233,0.7619047619047619,0.7492302955665024,0.7986893033075299,0.6781115879828327,0.7445973557042627,0.707936507936508,0.719365763546798,0.7986893033075299,0.648854961832061
SCN10A,wt_mut_site,128,rbf_svm,10.0,scale,6,0.4384995442703879,0.7682539682539683,0.7481527093596059,0.7723434201266713,0.6755555555555556,0.7476543209876543,0.6761904761904762,0.7047413793103449,0.7723434201266713,0.6382978723404256
SCN10A,wt_mut_site,32,rbf_svm,1.0,scale,6,-0.0005248755351832737,0.7206349206349206,0.7472290640394088,0.7988652357494722,0.6811594202898551,0.7162859248341931,0.7206349206349206,0.7472290640394088,0.7988652357494722,0.6811594202898551
SCN10A,wt_mut_site,16,linear_svm,0.01,none,6,-0.2801389832600369,0.7142857142857143,0.7463054187192117,0.7880014074595355,0.6808510638297872,0.7111151870873074,0.7174603174603175,0.7227524630541873,0.7880014074595355,0.6509803921568628
SCN10A,wt_mut_site,16,linear_svm,1.0,none,6,-0.21441073806377928,0.7174603174603175,0.7447660098522167,0.7902005629838141,0.6787003610108303,0.7132878575592395,0.7111111111111111,0.7198275862068966,0.7902005629838141,0.6486486486486487
SCN10A,wt_mut_site,16,linear_svm,10.0,none,6,-0.21237415496518627,0.7174603174603175,0.7447660098522167,0.7901125967628431,0.6787003610108303,0.7132878575592395,0.7111111111111111,0.7198275862068966,0.7901125967628431,0.6486486486486487
SCN10A,wt_mut_site,32,rbf_svm,10.0,scale,6,0.2053668483247726,0.765079365079365,0.7436884236453202,0.7876495425756509,0.6696428571428571,0.7436884236453202,0.7428571428571429,0.7344519704433498,0.7876495425756509,0.6610878661087866
SCN10A,wt_mut_site,64,rbf_svm,10.0,scale,6,0.34139438437570224,0.7777777777777778,0.7435344827586207,0.7757741027445462,0.6666666666666666,0.75,0.726984126984127,0.7201354679802956,0.7757741027445462,0.6446280991735537
SCN10A,wt_mut_site,16,linear_svm,0.1,none,6,-0.2211474158060588,0.7142857142857143,0.7423029556650247,0.7901125967628431,0.6762589928057554,0.7102885873119686,0.707936507936508,0.7153633004926109,0.7901125967628431,0.6434108527131783
SCN10A,wt_mut_site,16,rbf_svm,10.0,scale,6,0.038394589081270185,0.746031746031746,0.7409174876847291,0.7880893736805067,0.6694214876033058,0.7316179602964983,0.7396825396825397,0.7359913793103448,0.7880893736805067,0.6639344262295082
SCN10A,wt_mut_site,16,logistic_regression,1.0,none,6,0.3725524859156409,0.6984126984126984,0.739993842364532,0.7935872624912034,0.6757679180887372,0.6969344041482262,0.7333333333333333,0.729064039408867,0.7935872624912034,0.6557377049180327
SCN10A,wt_mut_site,16,logistic_regression,10.0,none,6,0.37035429562157396,0.6984126984126984,0.739993842364532,0.7935432793807178,0.6757679180887372,0.6969344041482262,0.7301587301587301,0.7245997536945813,0.7935432793807178,0.6502057613168725
SCN10A,wt_mut_site,128,logistic_regression,1.0,none,6,0.9177760313409971,0.765079365079365,0.739685960591133,0.7593244194229416,0.6636363636363637,0.7415742793791574,0.707936507936508,0.7153633004926109,0.7593244194229416,0.6434108527131783
SCN10A,wt_mut_site,128,logistic_regression,10.0,none,6,0.9309172396137928,0.7523809523809524,0.7378386699507389,0.7489004222378608,0.6637931034482759,0.7339066019753943,0.707936507936508,0.7093596059113301,0.7489004222378608,0.6349206349206349
SCN10A,wt_mut_site,32,rbf_svm,0.1,scale,6,0.07982193899245062,0.7587301587301587,0.7367610837438423,0.7730911330049259,0.6607142857142857,0.7367610837438423,0.7206349206349206,0.7332204433497538,0.7730911330049259,0.6641221374045801
SCN10A,wt_mut_site,16,logistic_regression,0.1,none,6,0.4006243503915977,0.6952380952380952,0.7355295566502463,0.79600633356791,0.6712328767123288,0.6936046040366377,0.7333333333333333,0.7330665024630542,0.79600633356791,0.6612903225806451
SCN10A,wt_mut_site,16,rbf_svm,0.1,scale,6,0.07641603153507044,0.7396825396825397,0.7339901477832512,0.7665376495425755,0.6611570247933884,0.7249084093039107,0.6730158730158731,0.6962746305418719,0.7665376495425755,0.628158844765343
SCN10A,wt_mut_site,64,linear_svm,0.01,none,6,0.15677848366165836,0.7492063492063492,0.7333743842364533,0.7708479943701619,0.658008658008658,0.7300068352699931,0.726984126984127,0.718134236453202,0.7708479943701619,0.6416666666666667
SCN10A,wt_mut_site,8,rbf_svm,1.0,scale,6,0.4216087924737748,0.7555555555555555,0.7282943349753694,0.7694845179451091,0.6484018264840182,0.7305269473052695,0.6793650793650794,0.6931958128078818,0.7694845179451091,0.6217228464419475
